,seasonal_component,cyclical_component,average,calculated_cars_sold
0,-8178.636363636353,-537.5316688497405,83848.27272727275,75132.10469478666
1,-11696.318181818177,-16.94518549129134,83848.27272727275,72135.00935996328
2,7778.045454545456,502.65033190787653,83848.27272727275,92128.96851372608
3,6449.409090909103,1020.2658037485235,83848.27272727275,91317.94762193038
4,5842.818181818191,1534.9159195606626,83848.27272727275,91226.0068286516
5,7399.818181818191,2045.6210135980364,83848.27272727275,93293.71192268898
6,4746.272727272735,2551.4089296875754,83848.27272727275,91145.95438423306
7,6265.454545454559,3051.3168717838853,83848.27272727275,93165.0441445112
8,1952.5454545454559,3544.3932367062807,83848.27272727275,89345.21141852449
9,418.9545454545587,4029.699425569517,83848.27272727275,88296.92669829683
10,-9552.954545454544,4506.31163046007,83848.27272727275,78801.62981227828
11,-11425.409090909088,4973.322592957076,83848.27272727275,77396.18622932074
12,-8178.636363636353,5429.8433311502595,83848.27272727275,81099.47969478666
13,-11696.318181818177,5875.004831867525,83848.27272727275,78026.9593773221
14,7778.045454545456,6307.959704890905,83848.27272727275,97934.27788670911
15,6449.409090909103,6727.883796012087,83848.27272727275,97025.56561419394
16,5842.818181818191,7133.977755856686,83848.27272727275,96825.06866494763
17,7399.818181818191,7525.46856149126,83848.27272727275,98773.5594705822
18,4746.272727272735,7901.610987916414,83848.27272727275,96496.1564424619
19,6265.454545454559,8261.68902664489,83848.27272727275,98375.4162993722
20,1952.5454545454559,8605.017248664488,83848.27272727275,94405.8354304827
21,418.9545454545587,8930.942109191077,83848.27272727275,93198.16938191839
22,-9552.954545454544,9238.843191728301,83848.27272727275,83534.1613735465
23,-11425.409090909088,9528.134389065599,83848.27272727275,81950.99802542926
24,-8178.636363636353,9798.265018966587,83848.27272727275,85467.90138260298
25,-11696.318181818177,10048.720872424048,83848.27272727275,82200.67541787862
26,7778.045454545456,10279.025192485919,83848.27272727275,101905.34337430412
27,6449.409090909103,10488.739581789341,83848.27272727275,100786.4213999712
28,5842.818181818191,10677.464837074891,83848.27272727275,100368.55574616583
29,7399.818181818191,10844.841709092667,83848.27272727275,102092.93261818361
30,4746.272727272735,10990.55158645373,83848.27272727275,99585.09704099922
31,6265.454545454559,11114.317102124885,83848.27272727275,101228.0443748522
32,1952.5454545454559,11215.902661412721,83848.27272727275,97016.72084323093
33,418.9545454545587,11295.114890431345,83848.27272727275,95562.34216315865
34,-9552.954545454544,11351.80300420073,83848.27272727275,85647.12118601894
35,-11425.409090909088,11385.859093674342,83848.27272727275,83808.722730038
36,-8178.636363636353,11397.21833115026,83848.27272727275,87066.85469478666
37,-11696.318181818177,11385.859093674342,83848.27272727275,83537.81363912892
38,7778.045454545456,11351.80300420073,83848.27272727275,102978.12118601894
39,6449.409090909103,11295.114890431345,83848.27272727275,101592.7967086132
40,5842.818181818191,11215.902661412721,83848.27272727275,100906.99357050366
41,7399.818181818191,11114.317102124885,83848.27272727275,102362.40801121583
42,4746.272727272735,10990.55158645373,83848.27272727275,99585.09704099922
43,6265.454545454559,10844.841709092667,83848.27272727275,100958.56898181998
44,1952.5454545454559,10677.464837074891,83848.27272727275,96478.2830188931
45,418.9545454545587,10488.739581789341,83848.27272727275,94755.96685451665
46,-9552.954545454544,10279.025192485933,83848.27272727275,84574.34337430414
47,-11425.409090909088,10048.720872424048,83848.27272727275,82471.58450878771
48,-8178.636363636353,9798.265018966602,83848.27272727275,85467.901382603
49,-11696.318181818177,9528.134389065599,83848.27272727275,81680.08893452017
50,7778.045454545456,9238.843191728316,83848.27272727275,100865.16137354652
51,6449.409090909103,8930.942109191077,83848.27272727275,99228.62392737293
52,5842.818181818191,8605.017248664488,83848.27272727275,98296.10815775543
53,7399.818181818191,8261.68902664489,83848.27272727275,99509.77993573583
54,4746.272727272735,7901.610987916414,83848.27272727275,96496.1564424619
55,6265.454545454559,7525.468561491274,83848.27272727275,97639.19583421858
56,1952.5454545454559,7133.977755856686,83848.27272727275,92934.79593767489
57,418.9545454545587,6727.883796012102,83848.27272727275,90995.11106873941
58,-9552.954545454544,6307.95970489092,83848.27272727275,80603.27788670913
59,-11425.409090909088,5875.004831867525,83848.27272727275,78297.86846823119
60,-8178.636363636353,5429.8433311502595,83848.27272727275,81099.47969478666
61,-11696.318181818177,4973.322592957076,83848.27272727275,77125.27713841165
62,7778.045454545456,4506.31163046007,83848.27272727275,96132.62981227828
63,6449.409090909103,4029.699425569517,83848.27272727275,94327.38124375137
64,5842.818181818191,3544.3932367062953,83848.27272727275,93235.48414579724
65,7399.818181818191,3051.3168717838853,83848.27272727275,94299.40778087483
66,4746.272727272735,2551.4089296875754,83848.27272727275,91145.95438423306
67,6265.454545454559,2045.6210135980364,83848.27272727275,92159.34828632534
68,1952.5454545454559,1534.9159195606626,83848.27272727275,87335.73410137887
69,418.9545454545587,1020.2658037485235,83848.27272727275,85287.49307647583
70,-9552.954545454544,502.65033190787653,83848.27272727275,74797.96851372608
71,-11425.409090909088,-16.94518549129134,83848.27272727275,72405.91845087237
72,-8178.636363636353,-537.5316688497405,83848.27272727275,75132.10469478666
73,-11696.318181818177,-1058.1181522081897,83848.27272727275,71093.83639324638
74,7778.045454545456,-1577.7136696073576,83848.27272727275,90048.60451221085
75,6449.409090909103,-2095.3291414480045,83848.27272727275,88202.35267673385
76,5842.818181818191,-2609.979257260129,83848.27272727275,87081.11165183081
77,7399.818181818191,-3120.6843512975174,83848.27272727275,88127.40655779342
78,4746.272727272735,-3626.4722673870565,83848.27272727275,84968.07318715843
79,6265.454545454559,-4126.380209483366,83848.27272727275,85987.34706324394
80,1952.5454545454559,-4619.456574405762,83848.27272727275,81181.36160741244
81,418.9545454545587,-5104.762763268998,83848.27272727275,79162.46450945831
82,-9552.954545454544,-5581.374968159551,83848.27272727275,68713.94321365865
83,-11425.409090909088,-6048.385930656557,83848.27272727275,66374.4777057071
84,-8178.636363636353,-6504.9066688497405,83848.27272727275,69164.72969478666
85,-11696.318181818177,-6950.068169566992,83848.27272727275,65201.88637588758
86,7778.045454545456,-7383.0230425903865,83848.27272727275,84243.29513922782
87,6449.409090909103,-7802.947133711568,83848.27272727275,82494.73468447028
88,5842.818181818191,-8209.041093556167,83848.27272727275,81482.04981553477
89,7399.818181818191,-8600.53189919074,83848.27272727275,82647.5590099002
90,4746.272727272735,-8976.674325615895,83848.27272727275,79617.87112892959
91,6265.454545454559,-9336.752364344371,83848.27272727275,80776.97490838294
92,1952.5454545454559,-9680.080586363969,83848.27272727275,76120.73759545424
93,418.9545454545587,-10006.005446890558,83848.27272727275,74261.22182583675
94,-9552.954545454544,-10313.906529427783,83848.27272727275,63981.41165239042
95,-11425.409090909088,-10603.19772676508,83848.27272727275,61819.66590959858
96,-8178.636363636353,-10873.328356666068,83848.27272727275,64796.30800697033
97,-11696.318181818177,-11123.78421012353,83848.27272727275,61028.170335331044
98,7778.045454545456,-11354.0885301854,83848.27272727275,80272.2296516328
99,6449.409090909103,-11563.802919488822,83848.27272727275,78733.87889869303
100,5842.818181818191,-11752.528174774357,83848.27272727275,77938.56273431658
101,7399.818181818191,-11919.905046792148,83848.27272727275,79328.1858622988
102,4746.272727272735,-12065.614924153211,83848.27272727275,76528.93053039227
103,6265.454545454559,-12189.380439824366,83848.27272727275,77924.34683290294
104,1952.5454545454559,-12290.965999112203,83848.27272727275,73509.852182706
105,418.9545454545587,-12370.178228130826,83848.27272727275,71897.04904459648
106,-9552.954545454544,-12426.866341900211,83848.27272727275,61868.451839917994
107,-11425.409090909088,-12460.922431373823,83848.27272727275,59961.94120498984
108,-8178.636363636353,-12472.28166884974,83848.27272727275,63197.354694786656
109,-11696.318181818177,-12460.922431373823,83848.27272727275,59691.03211408075
110,7778.045454545456,-12426.866341900211,83848.27272727275,79199.451839918
111,6449.409090909103,-12370.17822813084,83848.27272727275,77927.50359005101
112,5842.818181818191,-12290.965999112203,83848.27272727275,77400.12490997874
113,7399.818181818191,-12189.380439824381,83848.27272727275,79058.71046926656
114,4746.272727272735,-12065.614924153211,83848.27272727275,76528.93053039227
115,6265.454545454559,-11919.905046792148,83848.27272727275,78193.82222593516
116,1952.5454545454559,-11752.528174774372,83848.27272727275,74048.29000704383
117,418.9545454545587,-11563.802919488822,83848.27272727275,72703.42435323849
118,-9552.954545454544,-11354.088530185414,83848.27272727275,62941.22965163279
119,-11425.409090909088,-11123.78421012353,83848.27272727275,61299.07942624013
120,-8178.636363636353,-10873.328356666068,83848.27272727275,64796.30800697033
121,-11696.318181818177,-10603.19772676508,83848.27272727275,61548.75681868949
122,7778.045454545456,-10313.906529427797,83848.27272727275,81312.41165239041
123,6449.409090909103,-10006.005446890558,83848.27272727275,80291.6763712913
124,5842.818181818191,-9680.080586363969,83848.27272727275,80011.01032272697
125,7399.818181818191,-9336.752364344371,83848.27272727275,81911.33854474657
126,4746.272727272735,-8976.674325615895,83848.27272727275,79617.87112892959
127,6265.454545454559,-8600.531899190755,83848.27272727275,81513.19537353655
128,1952.5454545454559,-8209.041093556167,83848.27272727275,77591.77708826204
129,418.9545454545587,-7802.947133711583,83848.27272727275,76464.28013901573
130,-9552.954545454544,-7383.023042590401,83848.27272727275,66912.2951392278
131,-11425.409090909088,-6950.068169567006,83848.27272727275,65472.795466796655
132,-8178.636363636353,-6504.906668849755,83848.27272727275,69164.72969478664
133,-11696.318181818177,-6048.385930656572,83848.27272727275,66103.568614798
134,7778.045454545456,-5581.3749681595655,83848.27272727275,86044.94321365864
135,6449.409090909103,-5104.762763268998,83848.27272727275,85192.91905491285
136,5842.818181818191,-4619.456574405776,83848.27272727275,85071.63433468516
137,7399.818181818191,-4126.380209483381,83848.27272727275,87121.71069960756
138,4746.272727272735,-3626.4722673870565,83848.27272727275,84968.07318715843
139,6265.454545454559,-3120.6843512975174,83848.27272727275,86993.04292142979
140,1952.5454545454559,-2609.9792572601436,83848.27272727275,83190.83892455806
141,418.9545454545587,-2095.3291414480045,83848.27272727275,82171.8981312793
142,-9552.954545454544,-1577.7136696073576,83848.27272727275,72717.60451221085
143,-11425.409090909088,-1058.1181522081897,83848.27272727275,71364.74548415547
144,-8178.636363636353,-537.5316688497405,83848.27272727275,75132.10469478666
145,-11696.318181818177,-16.945185491305892,83848.27272727275,72135.00935996327
146,7778.045454545456,502.650331907862,83848.27272727275,92128.96851372607
147,6449.409090909103,1020.2658037485235,83848.27272727275,91317.94762193038
148,5842.818181818191,1534.915919560648,83848.27272727275,91226.00682865159
149,7399.818181818191,2045.6210135980218,83848.27272727275,93293.71192268896
150,4746.272727272735,2551.408929687561,83848.27272727275,91145.95438423305
151,6265.454545454559,3051.3168717838853,83848.27272727275,93165.0441445112
152,1952.5454545454559,3544.3932367062807,83848.27272727275,89345.21141852449
153,418.9545454545587,4029.699425569517,83848.27272727275,88296.92669829683
154,-9552.954545454544,4506.31163046007,83848.27272727275,78801.62981227828
155,-11425.409090909088,4973.322592957076,83848.27272727275,77396.18622932074
156,-8178.636363636353,5429.8433311502595,83848.27272727275,81099.47969478666
157,-11696.318181818177,5875.004831867525,83848.27272727275,78026.9593773221
158,7778.045454545456,6307.959704890905,83848.27272727275,97934.27788670911
159,6449.409090909103,6727.883796012087,83848.27272727275,97025.56561419394
160,5842.818181818191,7133.977755856686,83848.27272727275,96825.06866494763
161,7399.818181818191,7525.46856149126,83848.27272727275,98773.5594705822
162,4746.272727272735,7901.610987916414,83848.27272727275,96496.1564424619
163,6265.454545454559,8261.68902664489,83848.27272727275,98375.4162993722
164,1952.5454545454559,8605.017248664488,83848.27272727275,94405.8354304827
165,418.9545454545587,8930.942109191077,83848.27272727275,93198.16938191839
166,-9552.954545454544,9238.843191728301,83848.27272727275,83534.1613735465
167,-11425.409090909088,9528.134389065599,83848.27272727275,81950.99802542926
168,-8178.636363636353,9798.265018966587,83848.27272727275,85467.90138260298
169,-11696.318181818177,10048.720872424048,83848.27272727275,82200.67541787862
170,7778.045454545456,10279.025192485919,83848.27272727275,101905.34337430412
171,6449.409090909103,10488.739581789341,83848.27272727275,100786.4213999712
172,5842.818181818191,10677.464837074876,83848.27272727275,100368.55574616582
173,7399.818181818191,10844.841709092667,83848.27272727275,102092.93261818361
174,4746.272727272735,10990.55158645373,83848.27272727275,99585.09704099922
175,6265.454545454559,11114.317102124885,83848.27272727275,101228.0443748522
176,1952.5454545454559,11215.902661412721,83848.27272727275,97016.72084323093
177,418.9545454545587,11295.114890431345,83848.27272727275,95562.34216315865
178,-9552.954545454544,11351.80300420073,83848.27272727275,85647.12118601894
179,-11425.409090909088,11385.859093674342,83848.27272727275,83808.722730038
180,-8178.636363636353,11397.21833115026,83848.27272727275,87066.85469478666
181,-11696.318181818177,11385.859093674342,83848.27272727275,83537.81363912892
182,7778.045454545456,11351.80300420073,83848.27272727275,102978.12118601894
183,6449.409090909103,11295.11489043136,83848.27272727275,101592.79670861321
184,5842.818181818191,11215.902661412721,83848.27272727275,100906.99357050366
185,7399.818181818191,11114.317102124885,83848.27272727275,102362.40801121583
186,4746.272727272735,10990.55158645373,83848.27272727275,99585.09704099922
187,6265.454545454559,10844.841709092667,83848.27272727275,100958.56898181998
188,1952.5454545454559,10677.464837074891,83848.27272727275,96478.2830188931
189,418.9545454545587,10488.739581789341,83848.27272727275,94755.96685451665
190,-9552.954545454544,10279.025192485933,83848.27272727275,84574.34337430414
191,-11425.409090909088,10048.720872424048,83848.27272727275,82471.58450878771
192,-8178.636363636353,9798.265018966602,83848.27272727275,85467.901382603
193,-11696.318181818177,9528.134389065599,83848.27272727275,81680.08893452017
194,7778.045454545456,9238.843191728316,83848.27272727275,100865.16137354652
195,6449.409090909103,8930.942109191092,83848.27272727275,99228.62392737294
196,5842.818181818191,8605.017248664502,83848.27272727275,98296.10815775544
197,7399.818181818191,8261.68902664489,83848.27272727275,99509.77993573583
198,4746.272727272735,7901.610987916429,83848.27272727275,96496.15644246191
199,6265.454545454559,7525.468561491274,83848.27272727275,97639.19583421858
200,1952.5454545454559,7133.9777558567,83848.27272727275,92934.7959376749
201,418.9545454545587,6727.883796012102,83848.27272727275,90995.11106873941
202,-9552.954545454544,6307.959704890905,83848.27272727275,80603.27788670911
203,-11425.409090909088,5875.004831867525,83848.27272727275,78297.86846823119
204,-8178.636363636353,5429.8433311502595,83848.27272727275,81099.47969478666
205,-11696.318181818177,4973.322592957091,83848.27272727275,77125.27713841166
206,7778.045454545456,4506.31163046007,83848.27272727275,96132.62981227828
207,6449.409090909103,4029.6994255695317,83848.27272727275,94327.38124375138
208,5842.818181818191,3544.3932367062807,83848.27272727275,93235.48414579722
209,7399.818181818191,3051.3168717839,83848.27272727275,94299.40778087484
210,4746.272727272735,2551.4089296875754,83848.27272727275,91145.95438423306
211,6265.454545454559,2045.621013598051,83848.27272727275,92159.34828632536
212,1952.5454545454559,1534.9159195606626,83848.27272727275,87335.73410137887
213,418.9545454545587,1020.265803748538,83848.27272727275,85287.49307647585
214,-9552.954545454544,502.65033190787653,83848.27272727275,74797.96851372608
215,-11425.409090909088,-16.94518549127679,83848.27272727275,72405.91845087238
216,-8178.636363636353,-537.5316688497405,83848.27272727275,75132.10469478666
217,-11696.318181818177,-1058.1181522081752,83848.27272727275,71093.8363932464
218,7778.045454545456,-1577.713669607343,83848.27272727275,90048.60451221086
219,6449.409090909103,-2095.32914144799,83848.27272727275,88202.35267673386
220,5842.818181818191,-2609.979257260129,83848.27272727275,87081.11165183081
221,7399.818181818191,-3120.6843512975174,83848.27272727275,88127.40655779342
222,4746.272727272735,-3626.472267387042,83848.27272727275,84968.07318715844
223,6265.454545454559,-4126.380209483366,83848.27272727275,85987.34706324394
224,1952.5454545454559,-4619.456574405762,83848.27272727275,81181.36160741244
225,418.9545454545587,-5104.762763268998,83848.27272727275,79162.46450945831
226,-9552.954545454544,-5581.374968159551,83848.27272727275,68713.94321365865
227,-11425.409090909088,-6048.385930656557,83848.27272727275,66374.4777057071
228,-8178.636363636353,-6504.9066688497405,83848.27272727275,69164.72969478666
229,-11696.318181818177,-6950.068169566992,83848.27272727275,65201.88637588758
230,7778.045454545456,-7383.0230425903865,83848.27272727275,84243.29513922782
231,6449.409090909103,-7802.947133711568,83848.27272727275,82494.73468447028
232,5842.818181818191,-8209.041093556167,83848.27272727275,81482.04981553477
233,7399.818181818191,-8600.53189919074,83848.27272727275,82647.5590099002
234,4746.272727272735,-8976.67432561588,83848.27272727275,79617.8711289296
235,6265.454545454559,-9336.752364344371,83848.27272727275,80776.97490838294
236,1952.5454545454559,-9680.080586363954,83848.27272727275,76120.73759545425
237,418.9545454545587,-10006.005446890558,83848.27272727275,74261.22182583675
238,-9552.954545454544,-10313.906529427797,83848.27272727275,63981.41165239041
239,-11425.409090909088,-10603.19772676508,83848.27272727275,61819.66590959858
240,-8178.636363636353,-10873.328356666083,83848.27272727275,64796.308006970314
241,-11696.318181818177,-11123.78421012353,83848.27272727275,61028.170335331044
242,7778.045454545456,-11354.088530185414,83848.27272727275,80272.22965163279
243,6449.409090909103,-11563.802919488822,83848.27272727275,78733.87889869303
244,5842.818181818191,-11752.528174774372,83848.27272727275,77938.56273431657
245,7399.818181818191,-11919.905046792148,83848.27272727275,79328.1858622988
246,4746.272727272735,-12065.614924153211,83848.27272727275,76528.93053039227
247,6265.454545454559,-12189.380439824366,83848.27272727275,77924.34683290294
248,1952.5454545454559,-12290.965999112203,83848.27272727275,73509.852182706
249,418.9545454545587,-12370.178228130826,83848.27272727275,71897.04904459648
250,-9552.954545454544,-12426.866341900211,83848.27272727275,61868.451839917994
251,-11425.409090909088,-12460.922431373823,83848.27272727275,59961.94120498984
252,-8178.636363636353,-12472.28166884974,83848.27272727275,63197.354694786656
253,-11696.318181818177,-12460.922431373823,83848.27272727275,59691.03211408075
254,7778.045454545456,-12426.866341900211,83848.27272727275,79199.451839918
255,6449.409090909103,-12370.17822813084,83848.27272727275,77927.50359005101
256,5842.818181818191,-12290.965999112203,83848.27272727275,77400.12490997874
257,7399.818181818191,-12189.380439824366,83848.27272727275,79058.71046926657
258,4746.272727272735,-12065.614924153211,83848.27272727275,76528.93053039227
259,6265.454545454559,-11919.905046792148,83848.27272727275,78193.82222593516
260,1952.5454545454559,-11752.528174774372,83848.27272727275,74048.29000704383
261,418.9545454545587,-11563.802919488822,83848.27272727275,72703.42435323849
262,-9552.954545454544,-11354.088530185414,83848.27272727275,62941.22965163279
263,-11425.409090909088,-11123.78421012353,83848.27272727275,61299.07942624013
