,yoy_inflation,interest_rate,fuel_price,consumer_confidence,unemployment_rate,gdp_growth
2002-01-01,,1.73,0.634,,5.0,
2002-02-01,,1.74,0.631,,5.0,0.3764184624308152
2002-03-01,,1.73,0.764,,5.0,0.3750068673467253
2002-04-01,,1.75,0.941,,4.9,0.37360581986543623
2002-05-01,,1.75,0.945,,4.9,0.3722152022075649
2002-06-01,,1.75,0.908,,4.8,0.37083489834083605
2002-07-01,,1.73,0.911,,4.7,0.36946479394780773
2002-08-01,,1.74,0.912,,4.6,0.3681047763941909
2002-09-01,,1.75,0.906,,4.6,0.3667547346981022
2002-10-01,,1.75,0.962,,4.6,0.3654145594998733
2002-11-01,,1.34,0.924,,4.6,0.36408414303240255
2002-12-01,,1.24,0.924,,4.6,0.36276337909238565
2003-01-01,2.757456387169399,1.24,0.995,,4.7,0.3614521630120536
2003-02-01,3.146067415730336,1.26,1.123,,4.8,0.6116310425681373
2003-03-01,3.025210084033625,1.25,1.141,,4.8,0.607912858811893
2003-04-01,2.175125488008911,1.26,1.044,,4.9,0.6042396085335828
2003-05-01,1.8941504178273005,1.26,0.978,,4.9,0.6006104821076711
2003-06-01,1.948775055679297,1.22,0.968,,4.9,0.5970246892433176
2003-07-01,2.055555555555544,1.01,1.001,,4.9,0.593481458410513
2003-08-01,2.216066481994461,1.03,1.098,,4.8,0.5899800362868395
2003-09-01,2.378318584070782,1.01,1.08,,4.8,0.5865196872233297
2003-10-01,2.041942604856528,1.01,1.035,,4.7,0.5830996927293213
2003-11-01,1.9283746556473913,1.0,0.974,,4.7,0.5797193509751052
2003-12-01,2.0352035203520247,0.98,0.964,,4.7,0.5763779763116557
2004-01-01,2.026286966046009,1.0,1.083,,4.6,0.573074898807173
2004-02-01,1.688453159041381,1.01,1.133,,4.6,0.6279699825864129
2004-03-01,1.7400761283306032,1.0,1.196,,4.6,0.6240511288214345
2004-04-01,2.2925764192139875,1.0,1.237,,4.6,0.6201808830202004
2004-05-01,2.8977583378895444,1.0,1.452,,4.6,0.6163583463850211
2004-06-01,3.1676679410158393,1.03,1.407,,4.6,0.6125826421416867
2004-07-01,2.939575394665228,1.26,1.376,,4.6,0.6088529148690137
2004-08-01,2.5474254742547275,1.43,1.346,,4.6,0.6051683298528405
2004-09-01,2.5391680172879516,1.61,1.338,,4.6,0.6015280724631309
2004-10-01,3.1909140075716547,1.76,1.46,,4.6,0.597931347553528
2004-11-01,3.621621621621607,1.93,1.396,,4.7,0.5943773788824229
2004-12-01,3.3423180592991875,2.16,1.23,,4.7,0.590865408554346
2005-01-01,2.8448738593666034,2.28,1.317,,4.7,0.587394696481145
2005-02-01,3.0530262453133394,2.5,1.352,,4.7,0.3818409523267465
2005-03-01,3.2068412613575736,2.63,1.53,,4.7,0.38038847335753684
2005-04-01,3.3617929562433257,2.79,1.662,,4.7,0.3789470026393628
2005-05-01,2.869287991498415,3.0,1.571,,4.6,0.37751641549836024
2005-06-01,2.541026998411855,3.04,1.644,,4.5,0.3760965891362415
2005-07-01,3.067160232681121,3.26,1.773,,4.4,0.37468740259517974
2005-08-01,3.6469344608879517,3.5,2.025,,4.4,0.3732887367233489
2005-09-01,4.741833508956805,3.62,2.382,,4.4,0.3719004741415577
2005-10-01,4.350104821802936,3.78,2.07,,4.3,0.3705224992101938
2005-11-01,3.3385498174230532,4.0,1.643,,4.2,0.36915469799722267
2005-12-01,3.3385498174230532,4.16,1.662,,4.1,0.3677969582467639
2006-01-01,4.018789144050117,4.29,1.818,,4.1,0.36644916934838
2006-02-01,3.63825363825363,4.49,1.69,,4.0,0.2686720892943803
2006-03-01,3.4179181771103018,4.59,1.892,,4.0,0.26795217658326553
2006-04-01,3.613835828600931,4.79,2.286,,4.1,0.2672361116055807
2006-05-01,3.9772727272727293,4.94,2.41,,4.2,0.2665238635960268
2006-06-01,4.1817243159525175,4.99,2.446,,4.3,0.2658154021162522
2006-07-01,4.104669061056954,5.24,2.53,,4.3,0.26511069705083334
2006-08-01,3.926568077511483,5.25,2.36,,4.3,0.2644097186027963
2006-09-01,2.012072434607637,5.25,1.858,,4.3,0.26371243728941784
2006-10-01,1.4063284781516971,5.25,1.641,,4.2,0.263018823938301
2006-11-01,1.9687026754164672,5.25,1.679,,4.2,0.26232884968299314
2006-12-01,2.5239777889954462,5.24,1.785,,4.1,0.2616424859592942
2007-01-01,2.075765178123423,5.25,1.634,,4.0,0.2609597045011061
2007-02-01,2.420260782347028,5.26,1.719,,3.9,0.3034158215335397
2007-03-01,2.798197295943927,5.26,2.018,,3.8,0.3024979947576439
2007-04-01,2.5929247633283525,5.25,2.31,,3.7,0.3015857040503952
2007-05-01,2.709885742672613,5.25,2.511,,3.7,0.3006788994745045
2007-06-01,2.692765113974227,5.25,2.429,,3.7,0.29977753169132276
2007-07-01,2.3178905864958077,5.26,2.369,,3.7,0.29888155195222005
2007-08-01,1.897448478900876,5.02,2.175,,3.7,0.29799091208947015
2007-09-01,2.8338264299802685,4.94,2.189,,3.7,0.2971055645079446
2007-10-01,3.610698365527476,4.76,2.199,,3.7,0.2962254621763294
2007-11-01,4.373267326732666,4.49,2.467,,3.6,0.2953505586189997
2007-12-01,4.108813392417532,4.24,2.392,,3.6,0.2944808079078183
2008-01-01,4.294695655165981,3.94,2.441,98.75163,3.6,0.2936161646540172
2008-02-01,4.142959270611968,2.98,2.465,98.36383,3.6,0.1529062167238006
2008-03-01,3.9749035501344343,2.61,2.671,97.89629,3.7,0.15267277056636017
2008-04-01,3.9037609759888126,2.28,2.901,97.36927,3.8,0.15244003613973328
2008-05-01,4.088413823123993,1.98,3.238,96.99088,4.0,0.152208010193986
2008-06-01,4.935966105947864,2.0,3.47,96.87189,4.2,0.15197668949894097
2008-07-01,5.497512078341837,2.01,3.396,97.07452,4.5,0.1517460708440275
2008-08-01,5.308017162091239,2.0,3.058,97.33123,4.7,0.151516151038133
2008-09-01,4.953319875136075,1.81,3.004,97.4071,5.0,0.15128692690945594
2008-10-01,3.7310578899565128,0.97,2.177,97.055,5.3,0.15105839530535972
2008-11-01,1.0999174706166848,0.39,1.468,96.799,5.7,0.15083055309222843
2008-12-01,-0.02222800255385904,0.16,1.123,96.79156,6.2,0.15060339715532334
2009-01-01,-0.11358601902212717,0.15,1.251,96.79874,6.6,0.1503769243986413
2009-02-01,0.008463140671510772,0.22,1.358,96.77277,7.0,0.4371606408415023
2009-03-01,-0.4464787676623838,0.18,1.422,96.97421,7.3,0.4352578647705778
2009-04-01,-0.5763244243767063,0.15,1.504,97.42125,7.5,0.4333715808810928
2009-05-01,-1.015761495855172,0.18,1.781,97.8059,7.6,0.4315015756810371
2009-06-01,-1.2291746182109153,0.21,2.034,97.96515,7.7,0.42964763934739597
2009-07-01,-1.9587610037622771,0.16,1.899,97.92005,7.7,0.42780956564768835
2009-08-01,-1.4838355663267633,0.16,2.036,97.96363,7.7,0.42598715186356667
2009-09-01,-1.377942862886472,0.15,1.911,98.14104,7.8,0.424180198716286
2009-10-01,-0.22396829420033848,0.12,1.985,98.17061,7.8,0.4223885102939851
2009-11-01,1.9145871744709275,0.12,2.073,98.1846,7.9,0.4206118939808612
2009-12-01,2.8141231232083674,0.12,2.035,98.3583,8.0,0.41885016038831
2010-01-01,2.6211113889767157,0.11,2.146,98.51931,8.1,0.4171031232874546
2010-02-01,2.151336357866529,0.13,2.079,98.57419,8.1,0.2917418558141498
2010-03-01,2.2861714393279886,0.16,2.23,98.57111,8.0,0.290893198598141
2010-04-01,2.2067707525304403,0.2,2.293,98.55077,7.9,0.2900494644335151
2010-05-01,2.003548929218568,0.2,2.209,98.5495,7.9,0.28921061060638475
2010-06-01,1.1215605940686268,0.18,2.134,98.45483,7.8,0.28837659489542344
2010-07-01,1.3407784804821077,0.18,2.088,98.17152,7.7,0.28754737556507604
2010-08-01,1.1501775395112546,0.19,2.054,97.99873,7.7,0.2867229113583032
2010-09-01,1.1183122472331775,0.19,2.067,97.94814,7.7,0.28590316149003175
2010-10-01,1.1666951489314625,0.19,2.21,98.04617,7.7,0.28508808564015514
2010-11-01,1.084544776600338,0.19,2.282,98.30228,7.7,0.2842776439471053
2010-12-01,1.437793022217937,0.18,2.434,98.55192,7.6,0.28347179700133535
2011-01-01,1.7007834915029774,0.17,2.502,98.65965,7.5,0.2826705058388592
2011-02-01,2.124898173333145,0.16,2.595,98.61076,7.4,0.17819978134164413
2011-03-01,2.619241510354109,0.14,2.956,98.36825,7.4,0.17788279459065712
2011-04-01,3.0772344447868694,0.1,3.264,98.31018,7.3,0.17756693356695927
2011-05-01,3.4589718808964998,0.09,3.227,98.29508,7.4,0.17725219228442174
2011-06-01,3.5023181506360412,0.09,3.035,97.99074,7.4,0.17693856479931838
2011-07-01,3.5798809769996165,0.07,3.134,97.41898,7.4,0.17662604520988
2011-08-01,3.75499603070808,0.1,2.971,96.93045,7.4,0.1763146276559071
2011-09-01,3.812621692818685,0.08,2.874,96.85824,7.3,0.17600430631858086
2011-10-01,3.5222681306640524,0.07,2.797,97.07647,7.2,0.17569507541983456
2011-11-01,3.451432214581729,0.08,2.721,97.50809,7.1,0.17538692922227864
2011-12-01,3.062066838419386,0.07,2.655,98.05959,7.0,0.1750798620285625
2012-01-01,3.0087663379855023,0.08,2.829,98.53082,6.9,0.17477386818130627
2012-02-01,2.8981784423473878,0.1,3.025,98.79322,6.9,0.20155543301723422
2012-03-01,2.5828752813320977,0.13,3.25,98.91897,6.9,0.2011500042551611
2012-04-01,2.2731633741348567,0.14,3.254,98.95387,6.9,0.20074620325876402
2012-05-01,1.7379429374660749,0.16,2.993,98.89751,6.9,0.20034402024464945
2012-06-01,1.653870448297634,0.16,2.751,98.69199,6.9,0.19994344550772103
2012-07-01,1.4175114798464783,0.16,2.881,98.61956,6.9,0.19954446942024212
2012-08-01,1.6859349154821235,0.13,3.118,98.79012,6.9,0.19914708243122148
2012-09-01,1.9497168982819613,0.14,3.132,99.10774,6.8,0.19875127506565068
2012-10-01,2.1556780595369363,0.16,2.898,99.33553,6.8,0.1983570379235778
2012-11-01,1.7960197033926262,0.16,2.711,99.24879,6.8,0.19796436167962309
2012-12-01,1.7595049796895523,0.16,2.675,98.91343,6.8,0.1975732370819668
2013-01-01,1.684061762098299,0.14,2.797,98.78448,6.8,0.19718365495189896
2013-02-01,2.0181404902574807,0.15,3.072,98.88791,6.8,0.29046401867865534
2013-03-01,1.5187472411246183,0.14,3.051,99.05544,6.7,0.28962276874556575
2013-04-01,1.138808047576867,0.15,2.848,99.26848,6.7,0.2887863776428764
2013-05-01,1.3903888279197085,0.11,2.891,99.6083,6.6,0.28795480339688084
2013-06-01,1.7157935271568725,0.09,2.855,99.78398,6.6,0.2871280045159964
2013-07-01,1.885471805415806,0.09,2.983,99.74612,6.5,0.2863059399836936
2013-08-01,1.538809488600279,0.08,2.92,99.46401,6.5,0.2854885692519676
2013-09-01,1.0947341081747997,0.08,2.753,99.08121,6.4,0.2846758522344177
2013-10-01,0.8767991434911471,0.09,2.658,98.84456,6.3,0.28386774929986286
2013-11-01,1.2328701961954458,0.08,2.648,98.94547,6.2,0.2830642212658989
2013-12-01,1.5128383667573297,0.09,2.716,99.25048,6.1,0.28226522939239823
2014-01-01,1.557758795574915,0.07,2.673,99.42391,6.1,0.2814707353755347
2014-02-01,1.1204746347724948,0.07,2.727,99.494,6.0,0.36890086353742657
2014-03-01,1.6126949139408042,0.08,2.879,99.52639,5.9,0.3675449869068552
2014-04-01,2.015125303606169,0.09,2.977,99.60113,5.9,0.36619904069067916
2014-05-01,2.166947687079812,0.09,2.968,99.59195,5.8,0.36486291619174893
2014-06-01,2.0589816945944195,0.1,3.023,99.57416,5.8,0.36353650629348133
2014-07-01,1.9742378703305974,0.09,2.89,99.57485,5.7,0.3622197054312338
2014-08-01,1.7150983482969062,0.09,2.736,99.6613,5.6,0.3609124095644447
2014-09-01,1.6840509711232077,0.09,2.657,99.8579,5.6,0.3596145161490676
2014-10-01,1.6095417021513292,0.09,2.333,100.1421,5.5,0.3583259241108558
2014-11-01,1.231524989320798,0.09,2.139,100.495,5.5,0.3570465338190269
2014-12-01,0.6531213919623191,0.12,1.717,100.8878,5.4,0.35577624706074507
2015-01-01,-0.22993097820542818,0.11,1.414,101.1527,5.4,0.3545149670158434
2015-02-01,-0.08703146293520536,0.11,1.614,101.1553,5.3,0.4351929316081155
2015-03-01,-0.022031284423873476,0.11,1.727,101.0587,5.3,0.43330720926127797
2015-04-01,-0.10403098939391064,0.12,1.787,101.0039,5.2,0.43143775835086834
2015-05-01,0.03503321824429584,0.12,2.028,100.9234,5.1,0.42958436917824433
2015-06-01,0.1795718097550525,0.13,2.097,100.9375,5.0,0.4277468356327272
2015-07-01,0.22568611104094582,0.13,2.005,100.8226,4.9,0.4259249551150525
2015-08-01,0.2413037985344868,0.14,1.72,100.6329,4.9,0.42411852846304615
2015-09-01,0.008842961634170088,0.14,1.502,100.4619,4.8,0.4223273598790457
2015-10-01,0.12761656067050708,0.12,1.466,100.4912,4.7,0.42055125685901484
2015-11-01,0.4363182169185187,0.12,1.384,100.6079,4.7,0.4187900301237141
2015-12-01,0.6387247515364791,0.24,1.309,100.7051,4.6,0.41704349355145615
2016-01-01,1.2375025026943876,0.34,1.156,100.7182,4.5,0.41531146411240216
2016-02-01,0.8472775790126619,0.38,1.041,100.6808,4.4,0.28499834237351296
2016-03-01,0.8916160965521946,0.36,1.306,100.6409,4.3,0.28418841011548124
2016-04-01,1.1726257503534843,0.37,1.452,100.663,4.3,0.2833830682792022
2016-05-01,1.0784764621246223,0.37,1.596,100.7855,4.3,0.28258227794952057
2016-06-01,1.0792865347959424,0.38,1.602,100.7634,4.3,0.2817860006499411
2016-07-01,0.8683633430518256,0.39,1.428,100.6166,4.2,0.28099419833640543
2016-08-01,1.0553158595656864,0.4,1.455,100.5105,4.2,0.28020683339121916
2016-09-01,1.5486446201652182,0.4,1.44,100.4913,4.3,0.27942386861724233
2016-10-01,1.685924966243646,0.4,1.54,100.5683,4.3,0.2786452672318096
2016-11-01,1.6843334719788938,0.41,1.42,100.8979,4.2,0.27787099286120653
2016-12-01,2.0507989115119862,0.54,1.588,101.2359,4.2,0.2771010095347691
2017-01-01,2.5103933482571117,0.65,1.596,101.3843,4.1,0.276335281679549
2017-02-01,2.8103616813294208,0.66,1.574,101.372,4.0,0.230524953852475
2017-03-01,2.44119623655914,0.79,1.567,101.3411,4.0,0.22999475854148413
2017-04-01,2.176223471915395,0.9,1.67,101.3006,3.9,0.22946699647701896
2017-05-01,1.8563431667619756,0.91,1.618,101.2275,3.9,0.2289416509468917
2017-06-01,1.640565809959127,1.04,1.52,101.1198,3.9,0.22841870539169642
2017-07-01,1.7251073506566073,1.15,1.596,101.0805,4.0,0.22789814340293818
2017-08-01,1.92812155729698,1.16,1.67,101.1788,4.0,0.22737994872131734
2017-09-01,2.1805652303711787,1.15,1.823,101.3007,4.0,0.22686410523516656
2017-10-01,2.020757753132485,1.15,1.66,101.4507,4.1,0.22635059697863646
2017-11-01,2.172493864295566,1.16,1.758,101.4306,4.1,0.22583940813012096
2017-12-01,2.129930719552253,1.3,1.701,101.3479,4.0,0.22533052301061726
2018-01-01,2.151318868063945,1.41,1.823,101.3772,4.1,0.2248239260821376
2018-02-01,2.263468931091861,1.42,1.767,101.5368,4.0,0.1760060776648585
2018-03-01,2.3309497646499366,1.51,1.851,101.6359,4.0,0.1756968405472161
2018-04-01,2.4709963021052994,1.69,1.998,101.586,3.9,0.17538868816346398
2018-05-01,2.781921607842497,1.7,2.199,101.5019,3.8,0.17508161481599455
2018-06-01,2.8075506935940187,1.82,2.102,101.4451,3.8,0.17477561484722953
2018-07-01,2.854124785561929,1.91,2.117,101.4143,3.7,0.1744706826389192
2018-08-01,2.6429238568742575,1.91,2.062,101.4253,3.7,0.17416681261202455
2018-09-01,2.332055105808828,1.95,2.055,101.5069,3.7,0.17386399922629234
2018-10-01,2.492032470218053,2.19,1.983,101.4895,3.7,0.1735622369799324
2018-11-01,2.147328577667773,2.2,1.613,101.3826,3.7,0.1732615204092846
2018-12-01,2.0023809043401064,2.27,1.436,101.2158,3.7,0.17296184408848897
2019-01-01,1.4875893578291333,2.4,1.437,101.0162,3.6,0.17266320262915932
2019-02-01,1.5188615351321877,2.4,1.555,101.0692,3.5,-0.11979843648327934
2019-03-01,1.8831863513063984,2.41,1.834,101.2823,3.5,-0.11994212527405633
2019-04-01,2.000583470209061,2.42,2.029,101.4385,3.4,-0.12008615916550554
2019-05-01,1.7959105553606136,2.39,2.023,101.5244,3.4,-0.12023053940243181
2019-06-01,1.671194894390049,2.38,1.833,101.4328,3.4,-0.12037526723552225
2019-07-01,1.826331335037068,2.4,1.955,101.2061,3.4,-0.12052034392159103
2019-08-01,1.7376412106666406,2.13,1.738,100.9168,3.4,-0.12066577072347659
2019-09-01,1.6844977040391562,2.04,1.709,100.9167,3.3,-0.12081154891007792
2019-10-01,1.7339736996186295,1.83,1.704,101.115,3.3,-0.12095767975653147
2019-11-01,2.092290394862917,1.55,1.71,101.3775,3.2,-0.12110416454403844
2019-12-01,2.3195274699624457,1.55,1.704,101.6001,3.3,-0.12125100456011223
2020-01-01,2.5122643638566533,1.55,1.667,101.5985,3.4,-0.12139820109847609
2020-02-01,2.339737643050843,1.58,1.577,101.1803,3.5,0.675735057626531
2020-03-01,1.5231420852062971,0.65,1.04,100.2051,3.5,0.6711995271151902
2020-04-01,0.3498763874577149,0.05,0.673,99.14452,9.0,0.6667244755879247
2020-05-01,0.21621960391076112,0.05,0.997,98.65596,8.8,0.6623087013718881
2020-06-01,0.7017667595302868,0.08,1.212,98.60732,8.1,0.6579510344201571
2020-07-01,1.0187566946310067,0.09,1.29,98.62421,7.8,0.6536503352777339
2020-08-01,1.3005983533565635,0.1,1.284,98.82139,7.1,0.6494054940883
2020-09-01,1.373084272511016,0.09,1.256,99.12664,7.0,0.6452154296395021
2020-10-01,1.2031654060780772,0.09,1.227,99.27196,6.7,0.6410790884446915
2020-11-01,1.169540753609244,0.09,1.196,99.22985,6.6,0.6369954438597479
2020-12-01,1.3049530216912242,0.09,1.333,99.23284,6.7,0.6329634952337999
2021-01-01,1.3951009246599089,0.09,1.516,99.23878,6.4,0.6289822670916423
2021-02-01,1.6729284154818336,0.08,1.711,99.37518,6.2,0.6184951332129499
2021-03-01,2.6186325779585795,0.07,1.933,99.73307,6.0,0.6146932851600483
2021-04-01,4.148739292379555,0.07,1.937,99.97179,5.9,0.6109378909677967
2021-05-01,4.926362527750849,0.06,2.092,99.91441,5.7,0.607228104393426
2021-06-01,5.315092372103147,0.08,2.13,99.70934,5.7,0.6035630996247564
2021-07-01,5.25757716479367,0.1,2.204,99.25195,5.5,0.5999420706671105
2021-08-01,5.175312107215291,0.09,2.156,98.69581,5.3,0.596364230752404
2021-09-01,5.361010344257178,0.08,2.189,98.40384,4.8,0.592828811769404
2021-10-01,6.219044069333601,0.08,2.404,98.22147,4.5,0.5893350637138737
2021-11-01,6.862530903236941,0.08,2.4,98.06284,4.1,0.5858822541580184
2021-12-01,7.176580599606885,0.08,2.24,97.96371,3.7,0.5824696677388831
2022-01-01,7.5697666445729395,0.08,2.347,97.73397,3.7,0.5790966056640093
2022-02-01,7.948919315737357,0.08,2.572,97.4334,3.4,0.55832029993513
2022-03-01,8.547431203050081,0.2,3.115,97.20119,3.2,0.5552203917784395
2022-04-01,8.251859404990402,0.33,,97.03862,3.1,0.5521547161999671
2022-05-01,8.532996587844366,0.77,,96.641,3.1,0.5491227092630103
2022-06-01,8.989743741317646,1.21,,96.24303,3.2,0.5461238193502754
2022-07-01,8.449818746001725,1.68,,96.21596,3.2,0.5431575068289056
2022-08-01,8.218806476800754,2.33,,96.47675,3.4,0.5402232437269562
2022-09-01,8.19827154994579,2.56,,96.6918,3.2,0.5373205134201475
2022-10-01,7.7519407887596925,3.08,,96.80476,3.2,0.5344488103285341
2022-11-01,7.119465995215202,3.78,,96.86853,3.1,0.531607639622942
2022-12-01,6.411498247913161,4.1,,97.08541,3.0,0.5287965169408131
2023-01-01,6.362123304649603,4.33,,97.36658,3.0,0.5260149681108898
2023-02-01,5.965522694923298,4.57,,97.48019,2.9,
2023-03-01,4.935090226845151,4.65,,97.37041,2.7,
2023-04-01,4.941059134795189,4.83,,97.27934,2.5,
2023-05-01,4.120689595996696,5.06,,97.27999,2.4,
2023-06-01,3.053261739142221,5.08,,97.56742,2.0,
2023-07-01,3.271780511700917,5.12,,97.90488,1.8,
2023-08-01,3.718721312697104,5.33,,97.94846,1.7,
2023-09-01,3.6940551594278226,5.33,,97.76891,1.6,
2023-10-01,3.2457874929078256,5.33,,97.56094,1.7,
2023-11-01,3.1394819319064515,5.33,,97.63428,1.8,
2023-12-01,3.3231597124613543,5.33,,98.151,1.9,
