,yoy_inflation
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,2.757456387169399
2003-02-01,3.146067415730336
2003-03-01,3.025210084033625
2003-04-01,2.175125488008911
2003-05-01,1.8941504178273005
2003-06-01,1.948775055679297
2003-07-01,2.055555555555544
2003-08-01,2.216066481994461
2003-09-01,2.378318584070782
2003-10-01,2.041942604856528
2003-11-01,1.9283746556473913
2003-12-01,2.0352035203520247
2004-01-01,2.026286966046009
2004-02-01,1.688453159041381
2004-03-01,1.7400761283306032
2004-04-01,2.2925764192139875
2004-05-01,2.8977583378895444
2004-06-01,3.1676679410158393
2004-07-01,2.939575394665228
2004-08-01,2.5474254742547275
2004-09-01,2.5391680172879516
2004-10-01,3.1909140075716547
2004-11-01,3.621621621621607
2004-12-01,3.3423180592991875
2005-01-01,2.8448738593666034
2005-02-01,3.0530262453133394
2005-03-01,3.2068412613575736
2005-04-01,3.3617929562433257
2005-05-01,2.869287991498415
2005-06-01,2.541026998411855
2005-07-01,3.067160232681121
2005-08-01,3.6469344608879517
2005-09-01,4.741833508956805
2005-10-01,4.350104821802936
2005-11-01,3.3385498174230532
2005-12-01,3.3385498174230532
2006-01-01,4.018789144050117
2006-02-01,3.63825363825363
2006-03-01,3.4179181771103018
2006-04-01,3.613835828600931
2006-05-01,3.9772727272727293
2006-06-01,4.1817243159525175
2006-07-01,4.104669061056954
2006-08-01,3.926568077511483
2006-09-01,2.012072434607637
2006-10-01,1.4063284781516971
2006-11-01,1.9687026754164672
2006-12-01,2.5239777889954462
2007-01-01,2.075765178123423
2007-02-01,2.420260782347028
2007-03-01,2.798197295943927
2007-04-01,2.5929247633283525
2007-05-01,2.709885742672613
2007-06-01,2.692765113974227
2007-07-01,2.3178905864958077
2007-08-01,1.897448478900876
2007-09-01,2.8338264299802685
2007-10-01,3.610698365527476
2007-11-01,4.373267326732666
2007-12-01,4.108813392417532
2008-01-01,4.294695655165981
2008-02-01,4.142959270611968
2008-03-01,3.9749035501344343
2008-04-01,3.9037609759888126
2008-05-01,4.088413823123993
2008-06-01,4.935966105947864
2008-07-01,5.497512078341837
2008-08-01,5.308017162091239
2008-09-01,4.953319875136075
2008-10-01,3.7310578899565128
2008-11-01,1.0999174706166848
2008-12-01,-0.02222800255385904
2009-01-01,-0.11358601902212717
2009-02-01,0.008463140671510772
2009-03-01,-0.4464787676623838
2009-04-01,-0.5763244243767063
2009-05-01,-1.015761495855172
2009-06-01,-1.2291746182109153
2009-07-01,-1.9587610037622771
2009-08-01,-1.4838355663267633
2009-09-01,-1.377942862886472
2009-10-01,-0.22396829420033848
2009-11-01,1.9145871744709275
2009-12-01,2.8141231232083674
2010-01-01,2.6211113889767157
2010-02-01,2.151336357866529
2010-03-01,2.2861714393279886
2010-04-01,2.2067707525304403
2010-05-01,2.003548929218568
2010-06-01,1.1215605940686268
2010-07-01,1.3407784804821077
2010-08-01,1.1501775395112546
2010-09-01,1.1183122472331775
2010-10-01,1.1666951489314625
2010-11-01,1.084544776600338
2010-12-01,1.437793022217937
2011-01-01,1.7007834915029774
2011-02-01,2.124898173333145
2011-03-01,2.619241510354109
2011-04-01,3.0772344447868694
2011-05-01,3.4589718808964998
2011-06-01,3.5023181506360412
2011-07-01,3.5798809769996165
2011-08-01,3.75499603070808
2011-09-01,3.812621692818685
2011-10-01,3.5222681306640524
2011-11-01,3.451432214581729
2011-12-01,3.062066838419386
2012-01-01,3.0087663379855023
2012-02-01,2.8981784423473878
2012-03-01,2.5828752813320977
2012-04-01,2.2731633741348567
2012-05-01,1.7379429374660749
2012-06-01,1.653870448297634
2012-07-01,1.4175114798464783
2012-08-01,1.6859349154821235
2012-09-01,1.9497168982819613
2012-10-01,2.1556780595369363
2012-11-01,1.7960197033926262
2012-12-01,1.7595049796895523
2013-01-01,1.684061762098299
2013-02-01,2.0181404902574807
2013-03-01,1.5187472411246183
2013-04-01,1.138808047576867
2013-05-01,1.3903888279197085
2013-06-01,1.7157935271568725
2013-07-01,1.885471805415806
2013-08-01,1.538809488600279
2013-09-01,1.0947341081747997
2013-10-01,0.8767991434911471
2013-11-01,1.2328701961954458
2013-12-01,1.5128383667573297
2014-01-01,1.557758795574915
2014-02-01,1.1204746347724948
2014-03-01,1.6126949139408042
2014-04-01,2.015125303606169
2014-05-01,2.166947687079812
2014-06-01,2.0589816945944195
2014-07-01,1.9742378703305974
2014-08-01,1.7150983482969062
2014-09-01,1.6840509711232077
2014-10-01,1.6095417021513292
2014-11-01,1.231524989320798
2014-12-01,0.6531213919623191
2015-01-01,-0.22993097820542818
2015-02-01,-0.08703146293520536
2015-03-01,-0.022031284423873476
2015-04-01,-0.10403098939391064
2015-05-01,0.03503321824429584
2015-06-01,0.1795718097550525
2015-07-01,0.22568611104094582
2015-08-01,0.2413037985344868
2015-09-01,0.008842961634170088
2015-10-01,0.12761656067050708
2015-11-01,0.4363182169185187
2015-12-01,0.6387247515364791
2016-01-01,1.2375025026943876
2016-02-01,0.8472775790126619
2016-03-01,0.8916160965521946
2016-04-01,1.1726257503534843
2016-05-01,1.0784764621246223
2016-06-01,1.0792865347959424
2016-07-01,0.8683633430518256
2016-08-01,1.0553158595656864
2016-09-01,1.5486446201652182
2016-10-01,1.685924966243646
2016-11-01,1.6843334719788938
2016-12-01,2.0507989115119862
2017-01-01,2.5103933482571117
2017-02-01,2.8103616813294208
2017-03-01,2.44119623655914
2017-04-01,2.176223471915395
2017-05-01,1.8563431667619756
2017-06-01,1.640565809959127
2017-07-01,1.7251073506566073
2017-08-01,1.92812155729698
2017-09-01,2.1805652303711787
2017-10-01,2.020757753132485
2017-11-01,2.172493864295566
2017-12-01,2.129930719552253
2018-01-01,2.151318868063945
2018-02-01,2.263468931091861
2018-03-01,2.3309497646499366
2018-04-01,2.4709963021052994
2018-05-01,2.781921607842497
2018-06-01,2.8075506935940187
2018-07-01,2.854124785561929
2018-08-01,2.6429238568742575
2018-09-01,2.332055105808828
2018-10-01,2.492032470218053
2018-11-01,2.147328577667773
2018-12-01,2.0023809043401064
2019-01-01,1.4875893578291333
2019-02-01,1.5188615351321877
2019-03-01,1.8831863513063984
2019-04-01,2.000583470209061
2019-05-01,1.7959105553606136
2019-06-01,1.671194894390049
2019-07-01,1.826331335037068
2019-08-01,1.7376412106666406
2019-09-01,1.6844977040391562
2019-10-01,1.7339736996186295
2019-11-01,2.092290394862917
2019-12-01,2.3195274699624457
2020-01-01,2.5122643638566533
2020-02-01,2.339737643050843
2020-03-01,1.5231420852062971
2020-04-01,0.3498763874577149
2020-05-01,0.21621960391076112
2020-06-01,0.7017667595302868
2020-07-01,1.0187566946310067
2020-08-01,1.3005983533565635
2020-09-01,1.373084272511016
2020-10-01,1.2031654060780772
2020-11-01,1.169540753609244
2020-12-01,1.3049530216912242
2021-01-01,1.3951009246599089
2021-02-01,1.6729284154818336
2021-03-01,2.6186325779585795
2021-04-01,4.148739292379555
2021-05-01,4.926362527750849
2021-06-01,5.315092372103147
2021-07-01,5.25757716479367
2021-08-01,5.175312107215291
2021-09-01,5.361010344257178
2021-10-01,6.219044069333601
2021-11-01,6.862530903236941
2021-12-01,7.176580599606885
2022-01-01,7.5697666445729395
2022-02-01,7.948919315737357
2022-03-01,8.547431203050081
2022-04-01,8.251859404990402
2022-05-01,8.532996587844366
2022-06-01,8.989743741317646
2022-07-01,8.449818746001725
2022-08-01,8.218806476800754
2022-09-01,8.19827154994579
2022-10-01,7.7519407887596925
2022-11-01,7.119465995215202
2022-12-01,6.411498247913161
2023-01-01,6.362123304649603
2023-02-01,5.965522694923298
2023-03-01,4.935090226845151
2023-04-01,4.941059134795189
2023-05-01,4.120689595996696
2023-06-01,3.053261739142221
2023-07-01,3.271780511700917
2023-08-01,3.718721312697104
2023-09-01,3.6940551594278226
2023-10-01,3.2457874929078256
2023-11-01,3.1394819319064515
2023-12-01,3.3231597124613543
